"kid","alias"
81,"serine/threonine protein kinase wnk4"
82,"casein kinase 1, alpha 1"
496,"tek"
82,"csnk1a1"
82,"ck1"
82,"hlcdgp1"
82,"pro2975"
82,"cki alpha"
82,"otthump00000224000"
82,"otthump00000224001"
82,"otthump00000224002"
82,"otthump00000224003"
82,"casein kinase i isoform alpha"
82,"down regulated in lung cancer"
83,"casein kinase 1, alpha 1 like"
83,"csnk1a1l"
83,"ck1"
83,"mgc33182"
83,"cki alpha like"
83,"otthump00000018267"
83,"casein kinase i alpha s like"
83,"casein kinase i isoform alpha like"
84,"casein kinase 1, delta"
84,"csnk1d"
84,"hckid"
84,"cki delta"
84,"ckid"
84,"casein kinase i isoform delta"
85,"casein kinase 1, epsilon"
85,"csnk1e"
85,"rp1 5o6.1"
85,"hckie"
85,"mgc10398"
85,"cki epsilon"
85,"ckie"
85,"otthump00000199211"
85,"otthump00000199212"
85,"otthump00000199213"
85,"otthump00000199217"
85,"casein kinase i isoform epsilon"
86,"casein kinase 1, gamma 1"
86,"csnk1g1"
86,"cki gamma 1"
86,"otthump00000163976"
86,"casein kinase i isoform gamma 1"
87,"casein kinase 1, gamma 2"
87,"csnk1g2"
87,"ck1g2"
87,"cki gamma 2"
87,"casein kinase 1 isoform gamma 2"
87,"casein kinase i isoform gamma 2"
88,"casein kinase 1, gamma 3"
88,"csnk1g3"
88,"cki gamma 3"
88,"otthump00000159174"
88,"otthump00000159175"
88,"otthump00000223000"
88,"otthump00000223001"
88,"otthump00000223002"
88,"otthump00000227071"
88,"casein kinase i isoform gamma 3"
89,"tau tubulin kinase 1"
89,"ttbk1"
89,"bdtk"
89,"kiaa1855"
89,"rp3 330m21.4"
89,"otthump00000016425"
89,"otthump00000180668"
89,"brain derived tau kinase"
89,"tau tubulin kinase 1"
90,"tau tubulin kinase 2"
90,"ttbk2"
90,"kiaa0847"
90,"sca11"
90,"ttbk"
90,"tau tubulin kinase 2"
91,"vaccinia related kinase 1"
91,"vrk1"
91,"mgc117401"
91,"mgc138280"
91,"mgc142070"
91,"pch1"
91,"serine/threonine protein kinase vrk1"
91,"vaccinia virus b1r related kinase 1"
91,"vaccinia related kinase 1"
92,"vaccinia related kinase 2"
92,"vrk2"
92,"otthump00000159702"
92,"otthump00000201223"
92,"otthump00000201224"
92,"otthump00000225744"
92,"serine/threonine protein kinase vrk2"
92,"vaccinia virus b1r related kinase 2"
93,"vaccinia related kinase 3"
93,"vrk3"
93,"inactive serine/threonine protein kinase vrk3"
93,"serine/threonine protein kinase vrk3"
93,"serine/threonine protein pseudokinase vrk3"
93,"vaccinia related kinase 3"
94,"mitogen activated protein kinase kinase 1"
94,"map2k1"
94,"mapkk1"
94,"mek1"
94,"mkk1"
94,"prkmk1"
94,"erk activator kinase 1"
94,"map kinase kinase 1"
94,"mapk/erk kinase 1"
94,"mapkk 1"
94,"mek 1"
94,"otthump00000164252"
94,"dual specificity mitogen activated protein kinase kinase 1"
94,"protein kinase, mitogen activated, kinase 1 (map kinase kinase 1)"
95,"mitogen activated protein kinase kinase 2"
95,"map2k2"
95,"flj26075"
95,"mapkk2"
95,"mek2"
95,"mkk2"
95,"prkmk2"
95,"erk activator kinase 2"
95,"map kinase kinase 2"
95,"mapk/erk kinase 2"
95,"otthump00000165826"
95,"otthump00000165827"
95,"dual specificity mitogen activated protein kinase kinase 2"
95,"mitogen activated protein kinase kinase 2, p45"
96,"mitogen activated protein kinase kinase 3"
96,"map2k3"
96,"mapkk3"
96,"mek3"
96,"mkk3"
96,"prkmk3"
96,"map kinase kinase 3"
96,"mapk/erk kinase 3"
96,"mapkk 3"
96,"mek 3"
96,"otthump00000166043"
96,"otthump00000166044"
96,"dual specificity mitogen activated protein kinase kinase 3"
97,"mitogen activated protein kinase kinase 4"
97,"map2k4"
97,"jnkk"
97,"jnkk1"
97,"mapkk4"
97,"mek4"
97,"mkk4"
97,"prkmk4"
97,"sek1"
97,"serk1"
97,"jnk activating kinase 1"
97,"jnk activated kinase 1"
97,"jnk activating kinase 1"
97,"map kinase kinase 4"
97,"mapk/erk kinase 4"
97,"mapkk 4"
97,"mek 4"
97,"sapk/erk kinase 1"
97,"c jun n terminal kinase kinase 1"
97,"dual specificity mitogen activated protein kinase kinase 4"
98,"mitogen activated protein kinase kinase 5"
98,"map2k5"
98,"hst17454"
98,"mapkk5"
98,"mek5"
98,"prkmk5"
98,"map kinase kinase 5"
98,"map kinase kinase mek5b"
98,"mapk/erk kinase 5"
98,"mapkk 5"
98,"mek 5"
98,"otthump00000164363"
98,"dual specificity mitogen activated protein kinase kinase 5"
99,"mitogen activated protein kinase kinase 6"
99,"map2k6"
99,"mapkk6"
99,"mek6"
99,"mkk6"
99,"prkmk6"
99,"sapkk3"
99,"mapk/erk kinase 6"
99,"mapkk 6"
99,"mek 6"
99,"dual specificity mitogen activated protein kinase kinase 6"
99,"protein kinase, mitogen activated, kinase 6 (map kinase kinase 6)"
100,"mitogen activated protein kinase kinase 7"
100,"map2k7"
100,"jnkk2"
100,"mapkk7"
100,"mkk7"
100,"prkmk7"
100,"jnk activating kinase 2"
100,"jnkk 2"
100,"map kinase kinase 7"
100,"mapk/erk kinase 7"
100,"mapkk 7"
100,"mek 7"
100,"otthump00000174396"
100,"otthump00000174397"
100,"otthump00000174398"
100,"c jun n terminal kinase kinase 2"
100,"dual specificity mitogen activated protein kinase kinase 7"
101,"mitogen activated protein kinase kinase kinase 1"
101,"map3k1"
101,"mapkkk1"
101,"mekk"
101,"mekk1"
101,"map/erk kinase kinase 1"
101,"mapk/erk kinase kinase 1"
101,"mek kinase 1"
101,"mekk 1"
101,"otthump00000065818"
102,"mitogen activated protein kinase kinase kinase 14"
102,"map3k14"
102,"ftdcr1b"
102,"hs"
102,"hsnik"
102,"nik"
102,"nf kappa beta inducing kinase"
102,"serine/threonine protein kinase"
102,"serine/threonine protein kinase nik"
103,"mitogen activated protein kinase kinase kinase 15"
103,"map3k15"
103,"rp11 723p2.3"
103,"ask3"
103,"flj16518"
103,"ba723p2.3"
103,"mapk/erk kinase kinase 15"
103,"mek kinase 15"
103,"mekk 15"
103,"otthump00000183505"
103,"otthump00000224565"
103,"apoptosis signal regulating kinase 3"
104,"mitogen activated protein kinase kinase kinase 2"
104,"map3k2"
104,"mekk2"
104,"mekk2b"
104,"map/erk kinase kinase 2"
104,"mapk/erk kinase kinase 2"
104,"mek kinase 2"
104,"mekk 2"
104,"otthump00000203817"
104,"otthump00000203818"
105,"mitogen activated protein kinase kinase kinase 3"
105,"map3k3"
105,"mapkkk3"
105,"mekk3"
105,"map/erk kinase kinase 3"
105,"mapk/erk kinase kinase 3"
105,"mek kinase 3"
105,"mekk 3"
106,"mitogen activated protein kinase kinase kinase 4"
106,"map3k4"
106,"rp3 473j16.4"
106,"flj42439"
106,"kiaa0213"
106,"mapkkk4"
106,"mekk4"
106,"mtk1"
106,"pro0412"
106,"map three kinase 1"
106,"map/erk kinase kinase 4"
106,"mapk/erk kinase kinase 4"
106,"mek kinase 4"
106,"mekk 4"
106,"otthump00000017559"
106,"otthump00000017560"
106,"otthump00000239074"
106,"otthump00000239075"
106,"otthump00000239076"
106,"ssk2/ssk22 map kinase kinase kinase, yeast, homolog of"
106,"dj473j16.1 (mitogen activated protein kinase kinase kinase 4)"
106,"predicted protein of hq0412"
107,"mitogen activated protein kinase kinase kinase 5"
107,"map3k5"
107,"rp3 325f22.4"
107,"ask1"
107,"mapkkk5"
107,"mekk5"
107,"ask 1"
107,"map/erk kinase kinase 5"
107,"mapk/erk kinase kinase 5"
107,"mek kinase 5"
107,"mekk 5"
107,"otthump00000017275"
107,"apoptosis signal regulating kinase 1"
107,"apoptosis signal regulating kinase 1"
108,"mitogen activated protein kinase kinase kinase 6"
108,"map3k6"
108,"rp11 4k3__a.7"
108,"ask2"
108,"mapkkk6"
108,"mekk6"
108,"mgc125653"
108,"mgc20114"
108,"otthump00000005063"
108,"otthump00000005064"
108,"otthump00000179079"
108,"apoptosis signal regulating kinase 2"
108,"apoptosis signal regulating kinase 2"
109,"mitogen activated protein kinase kinase kinase 8"
109,"map3k8"
109,"rp11 449i17.8"
109,"cot"
109,"est"
109,"estf"
109,"flj10486"
109,"mekk8"
109,"tpl2"
109,"tpl 2"
109,"c cot"
109,"cancer osaka thyroid oncogene"
109,"ewing sarcoma transformant"
109,"otthump00000019392"
109,"otthump00000019393"
109,"cot (cancer osaka thyroid) oncogene"
109,"proto oncogene c cot"
109,"proto oncogene serine/threoine protein kinase"
109,"serine/threonine protein kinase cot"
109,"tumor progression locus 2"
109,"tumor progression locus 2"
110,"mitogen activated protein kinase kinase kinase kinase 1"
110,"map4k1"
110,"hpk1"
110,"mapk/erk kinase kinase kinase 1"
110,"mek kinase kinase 1"
110,"mekkk 1"
110,"hematopoietic progenitor kinase 1"
111,"mitogen activated protein kinase kinase kinase kinase 2"
111,"map4k2"
111,"bl44"
111,"gck"
111,"rab8ip"
111,"b lymphocyte serine/threonine protein kinase"
111,"gc kinase"
111,"mapk/erk kinase kinase kinase 2"
111,"mek kinase kinase 2"
111,"mekkk 2"
111,"otthump00000042793"
111,"otthump00000069727"
111,"rab8 interacting protein"
111,"b lymphocyte serine/threonine protein kinase"
111,"germinal center kinase"
111,"germinal centre kinase (gc kinase)"
111,"rab8 interacting protein"
112,"mitogen activated protein kinase kinase kinase kinase 3"
112,"map4k3"
112,"glk"
112,"mapkkkk3"
112,"mekkk 3"
112,"rab8ipl1"
112,"mapk/erk kinase kinase kinase 3"
112,"mek kinase kinase 3"
112,"otthump00000128322"
112,"otthump00000204178"
112,"otthump00000204180"
112,"germinal center kinase like kinase"
112,"germinal center kinase related protein kinase"
113,"mitogen activated protein kinase kinase kinase kinase 4"
113,"map4k4"
113,"flh21957"
113,"flj10410"
113,"flj20373"
113,"flj90111"
113,"hgk"
113,"kiaa0687"
113,"mekkk4"
113,"nik"
113,"hpk/gck like kinase hgk"
113,"mapk/erk kinase kinase kinase 4"
113,"mek kinase kinase 4"
113,"otthump00000207902"
113,"otthump00000207903"
113,"otthump00000207971"
113,"otthump00000207972"
113,"otthump00000207973"
113,"otthump00000207974"
113,"ste20 group protein kinase hgk"
113,"hepatocyte progenitor kinase like/germinal center kinase like kinase"
113,"nck interacting kinase"
114,"mitogen activated protein kinase kinase kinase kinase 5"
114,"map4k5"
114,"gckr"
114,"khs"
114,"khs1"
114,"mapkkkk5"
114,"mapk/erk kinase kinase kinase 5"
114,"mek kinase kinase 5"
114,"mekkk 5"
114,"germinal center kinase related"
114,"kinase homologous to sps1/ste20"
115,"misshapen like kinase 1"
115,"mink1"
115,"b55"
115,"map4k6"
115,"mgc21111"
115,"mink"
115,"ysk2"
115,"zc3"
115,"hmink"
115,"hminkbeta"
115,"gck family kinase mink"
115,"mapk/erk kinase kinase kinase 6"
115,"mek kinase kinase 6"
115,"mekkk 6"
115,"misshapen/nik related kinase"
115,"mitogen activated protein kinase kinase kinase kinase 6"
115,"serine/threonine protein kinase"
116,"myosin iiia"
116,"myo3a"
116,"dfnb30"
116,"otthump00000019339"
116,"myosin iiia"
117,"myosin iiib"
117,"myo3b"
117,"otthump00000204841"
117,"otthump00000204843"
117,"otthump00000204844"
117,"otthump00000204848"
117,"otthump00000237453"
117,"myosin iiib"
118,"nik related kinase"
118,"nrk"
118,"rp1 82j11.1"
118,"dkfzp686a17109"
118,"flj16788"
118,"mgc131849"
118,"nesk"
118,"otthump00000043367"
118,"nik related protein kinase"
119,"oxidative stress responsive 1"
119,"oxsr1"
119,"kiaa1101"
119,"osr1"
119,"otthump00000161719"
119,"otthump00000209062"
119,"oxidative stress responsive 1 protein"
119,"serine/threonine protein kinase osr1"
120,"p21 protein (cdc42/rac) activated kinase 1"
120,"pak1"
120,"mgc130000"
120,"mgc130001"
120,"pakalpha"
120,"otthump00000228567"
120,"otthump00000228568"
120,"otthump00000228569"
120,"otthump00000228570"
120,"pak 1"
120,"ste20 homolog, yeast"
120,"alpha pak"
120,"p21 activated kinase 1"
120,"p21/cdc42/rac1 activated kinase 1 (ste20 homolog, yeast)"
120,"p21/cdc42/rac1 activated kinase 1 (yeast ste20 related)"
120,"p65 pak"
120,"serine/threonine protein kinase pak 1"
121,"p21 protein (cdc42/rac) activated kinase 2"
121,"pak2"
121,"pak65"
121,"pakgamma"
121,"otthump00000208198"
121,"pak 2"
121,"s6/h4 kinase"
121,"gamma pak"
121,"p21 (cdkn1a) activated kinase 2"
121,"p21 activated kinase 2"
121,"p58"
121,"serine/threonine protein kinase pak 2"
122,"p21 protein (cdc42/rac) activated kinase 3"
122,"pak3"
122,"rp5 914p14.3"
122,"cdkn1a"
122,"mrx30"
122,"mrx47"
122,"ophn3"
122,"pak3beta"
122,"bpak"
122,"hpak3"
122,"otthump00000023855"
122,"otthump00000023856"
122,"otthump00000226621"
122,"otthump00000226622"
122,"pak 3"
122,"beta pak"
122,"oligophrenin 3"
122,"p21 (cdkn1a) activated kinase 3"
122,"p21 activated kinase 3"
122,"serine/threonine protein kinase pak 3"
123,"p21 protein (cdc42/rac) activated kinase 4"
123,"pak4"
123,"pak 4"
123,"p21(cdkn1a) activated kinase 4"
123,"p21 activated kinase 4"
123,"protein kinase related to s. cerevisiae ste20, effector for cdc42hs"
123,"serine/threonine protein kinase pak 4"
124,"p21 protein (cdc42/rac) activated kinase 6"
124,"pak6"
124,"pak5"
124,"otthump00000160372"
124,"pak 5"
124,"pak 6"
124,"p21(cdkn1a) activated kinase 6"
124,"p21 activated kinase 6"
124,"p21 activated protein kinase 6"
124,"serine/threonine protein kinase pak 6"
125,"p21 protein (cdc42/rac) activated kinase 7"
125,"pak7"
125,"rp5 1119d9.3"
125,"kiaa1264"
125,"mgc26232"
125,"pak5"
125,"otthump00000030258"
125,"otthump00000030259"
125,"otthump00000030260"
125,"pak 5"
125,"pak 7"
125,"p21(cdkn1a) activated kinase 7"
125,"p21 activated kinase 5"
125,"p21 activated kinase 7"
125,"p21cdkn1a activated kinase 7"
125,"protein kinase pak5"
125,"serine/threonine protein kinase pak 7"
125,"serine/threonine protein kinase pak7"
126,"ste20 like kinase"
126,"slk"
126,"kiaa0204"
126,"losk"
126,"mgc133067"
126,"stk2"
126,"ba16h23.1"
126,"se20 9"
126,"ctcl tumor antigen se20 9"
126,"long ste20 like kinase"
126,"otthump00000020425"
126,"otthump00000020426"
126,"snf1 (sucrose nonfermenting, yeast, homolog) like kinase, snf1 sucrose nonfermenting like kinase"
126,"snf1 sucrose nonfermenting like kinase"
126,"ste20 like serine/threonine protein kinase"
126,"ste20 related kinase"
126,"ste20 related serine/threonine protein kinase"
126,"ste20 related serine/threonine kinase"
126,"hslk"
126,"serine/threonine protein kinase 2"
127,"serine/threonine kinase 10"
127,"stk10"
127,"lok"
127,"pro2729"
127,"otthump00000223448"
127,"lymphocyte oriented kinase"
127,"serine/threonine protein kinase 10"
128,"serine/threonine kinase 24"
128,"stk24"
128,"rp11 111l24.5"
128,"mst3"
128,"mst3b"
128,"ste20"
128,"otthump00000018592"
128,"otthump00000018593"
128,"otthump00000018594"
128,"ste20 like kinase 3"
128,"ste20 like kinase mst3"
128,"mammalian ste20 like protein kinase 3"
128,"serine/threonine kinase 24 (ste20 homolog, yeast)"
128,"serine/threonine protein kinase 24"
128,"sterile 20 like kinase 3"
129,"serine/threonine kinase 25"
129,"stk25"
129,"dkfzp686j1430"
129,"sok1"
129,"ysk1"
129,"otthump00000164603"
129,"otthump00000200202"
129,"otthump00000200203"
129,"otthump00000200204"
129,"otthump00000200205"
129,"sok 1"
129,"ste20, yeast homolog"
129,"serine/threonine kinase 25 (ste20 homolog, yeast)"
129,"serine/threonine protein kinase 25"
129,"ste20 like kinase"
129,"ste20/oxidant stress response kinase 1"
129,"sterile 20 (oxidant stress response kinase 1"
129,"yeast sps1/ste20 related kinase 1)"
129,"sterile 20/oxidant stress response kinase 1"
130,"serine/threonine kinase 3"
130,"stk3"
130,"flj90748"
130,"krs1"
130,"mst2"
130,"mst 2"
130,"otthump00000227170"
130,"otthump00000227171"
130,"otthump00000227172"
130,"ste20 like kinase mst2"
130,"mammalian ste20 like protein kinase 2"
130,"serine/threonine kinase 3 (ste20 homolog, yeast)"
130,"serine/threonine kinase 3 (ste20, yeast homolog)"
130,"serine/threonine protein kinase 3"
130,"serine/threonine protein kinase krs 1"
131,"serine threonine kinase 39"
131,"stk39"
131,"dcht"
131,"dkfzp686k05124"
131,"spak"
131,"otthump00000165175"
131,"ste20/sps1 homolog"
131,"ste20/sps1 related proline alanine rich protein kinase"
131,"ste20 like protein kinase"
131,"proline alanine rich ste20 related kinase"
131,"serine threonine kinase 39 (ste20/sps1 homolog, yeast)"
131,"serine/threonine protein kinase 39"
131,"small intestine spak like kinase"
131,"ste 20 related kinase"
132,"serine/threonine kinase 4"
132,"stk4"
132,"dkfzp686a2068"
132,"krs2"
132,"mst1"
132,"ysk3"
132,"mst 1"
132,"otthump00000043418"
132,"otthump00000063226"
132,"ste20 like kinase mst1"
132,"dj211d12.2 (serine/threonine kinase 4 (mst1, krs2))"
132,"kinase responsive to stress 2"
132,"mammalian ste20 like protein kinase 1"
132,"mammalian sterile 20 like 1"
132,"serine/threonine protein kinase 4"
132,"serine/threonine protein kinase krs 2"
133,"ste20 related kinase adaptor alpha"
133,"strada"
133,"flj90524"
133,"lyk5"
133,"ny br 96"
133,"pmse"
133,"strad"
133,"stlk"
133,"ste20 like pseudokinase"
133,"ste20 related adapter protein"
133,"ste20 related adaptor protein"
133,"ste20 related kinase adapter protein alpha"
133,"strad alpha"
133,"protein kinase lyk5"
133,"serologically defined breast cancer antigen ny br 96"
134,"ste20 related kinase adaptor beta"
134,"stradb"
134,"pro1038"
134,"als2cr2"
134,"cals 21"
134,"ilpip"
134,"ilpipa"
134,"mgc102916"
134,"papk"
134,"ilp interacting protein ilpipa"
134,"otthump00000163729"
134,"otthump00000206592"
134,"ste20 related kinase adapter protein beta"
134,"strad beta"
134,"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2"
134,"amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein"
134,"pseudokinase als2cr2"
135,"tao kinase 1"
135,"taok1"
135,"flj14314"
135,"kfc b"
135,"kiaa1361"
135,"map3k16"
135,"markk"
135,"psk2"
135,"tao1"
135,"hkfc b"
135,"ste20 like kinase psk2"
135,"kinase from chicken homolog b"
135,"microtubule affinity regulating kinase kinase"
135,"serine/threonine protein kinase tao1 homolog"
135,"serine/threonine protein kinase tao1"
135,"thousand and one amino acid protein 1"
136,"tao kinase 2"
136,"taok2"
136,"unq2971/pro7431"
136,"kiaa0881"
136,"map3k17"
136,"psk"
136,"psk1"
136,"psk1 beta"
136,"tao1"
136,"tao2"
136,"otthump00000162989"
136,"otthump00000162990"
136,"psk 1"
136,"hkfc c"
136,"kinase from chicken homolog c"
136,"prostate derived ste20 like kinase psk"
136,"prostate derived ste20 like kinase 1"
136,"serine/threonine protein kinase tao2"
136,"thousand and one amino acid protein 2"
136,"thousand and one amino acid protein kinase"
137,"tao kinase 3"
137,"taok3"
137,"dkfzp666h245"
137,"dpk"
137,"flj31808"
137,"jik"
137,"map3k18"
137,"ctcl associated antigen hd cl 09"
137,"jnk/sapk inhibitory kinase"
137,"otthump00000239670"
137,"otthump00000239671"
137,"ste20 like kinase"
137,"cutaneous t cell lymphoma associated antigen hd cl 09"
137,"dendritic cell derived protein kinase"
137,"hkfc a"
137,"jun kinase inhibitory kinase"
137,"kinase from chicken homolog a"
137,"serine/threonine protein kinase tao3"
137,"thousand and one amino acid protein 3"
138,"traf2 and nck interacting kinase"
138,"tnik"
138,"otthump00000213889"
138,"otthump00000213891"
138,"otthump00000213892"
138,"otthump00000213893"
138,"otthump00000213894"
138,"otthump00000213895"
138,"otthump00000213896"
138,"otthump00000213897"
138,"traf2 and nck interacting protein kinase"
139,"ysk4 sps1/ste20 related kinase homolog (s. cerevisiae)"
139,"ysk4"
139,"flj23074"
139,"rck"
139,"otthump00000082723"
139,"otthump00000083261"
139,"otthump00000083262"
139,"otthump00000083263"
139,"otthump00000083264"
139,"sps1/ste20 related protein kinase ysk4"
139,"regulated in copd kinase"
139,"regulated in copd, protein kinase"
139,"yeast sps1/ste20 related kinase 4"
140,"aarf domain containing kinase 1"
140,"adck1"
140,"flj39600"
141,"aarf domain containing kinase 2"
141,"adck2"
141,"aarf"
141,"mgc20727"
141,"otthump00000212102"
141,"otthump00000212103"
141,"otthump00000212104"
141,"otthump00000212105"
141,"putative ubiquinone biosynthesis protein aarf"
142,"aarf domain containing kinase 3"
142,"adck3"
142,"pp265"
142,"arca2"
142,"cabc1"
142,"coq8"
142,"mgc4849"
142,"scar9"
142,"otthump00000035734"
142,"otthump00000035735"
142,"otthump00000035736"
142,"otthump00000035737"
142,"otthump00000038685"
142,"aarf domain containing protein kinase 3"
142,"chaperone activity of bc1 complex like, mitochondrial"
142,"chaperone, abc1 activity of bc1 complex homolog"
142,"coenzyme q8 homolog"
143,"aarf domain containing kinase 5"
143,"adck5"
143,"flj35454"
143,"mgc126708"
143,"otthump00000228830"
144,"alpha kinase 1"
144,"alpk1"
144,"8430410j10rik"
144,"flj22670"
144,"kiaa1527"
144,"lak"
144,"otthump00000163832"
144,"otthump00000219656"
144,"alpha protein kinase 1"
144,"chromosome 4 kinase"
144,"lymphocyte alpha kinase"
144,"lymphocyte alpha protein kinase"
145,"alpha kinase 2"
145,"alpk2"
145,"flj34875"
145,"flj43253"
145,"hak"
145,"otthump00000163641"
145,"alpha protein kinase 2"
145,"heart alpha kinase"
145,"heart alpha protein kinase"
146,"alpha kinase 3"
146,"alpk3"
146,"flj12881"
146,"flj21176"
146,"kiaa1330"
146,"midori"
146,"otthump00000192892"
146,"alpha protein kinase 3"
146,"muscle alpha kinase"
146,"muscle alpha protein kinase"
146,"myocyte induction differentiation originator"
147,"ataxia telangiectasia mutated"
147,"atm"
147,"at1"
147,"ata"
147,"atc"
147,"atd"
147,"atdc"
147,"ate"
147,"dkfzp781a0353"
147,"mgc74674"
147,"tel1"
147,"telo1"
147,"a t mutated"
147,"at mutated"
147,"otthump00000232981"
147,"tel1, telomere maintenance 1, homolog"
147,"serine protein kinase atm"
148,"ataxia telangiectasia and rad3 related"
148,"atr"
148,"frp1"
148,"mec1"
148,"sckl"
148,"sckl1"
148,"frap related protein 1"
148,"frap related protein 1"
148,"mec1, mitosis entry checkpoint 1, homolog"
148,"otthump00000214450"
148,"rad3 related protein"
148,"ataxia telangiectasia and rad3 related protein"
148,"protein kinase atr"
148,"serine/threonine protein kinase atr"
149,"bckdhkin"
149,"branched chain alpha ketoacid dehydrogenase kinase"
149,"[3 methyl 2 oxobutanoate dehydrogenase [lipoamide] kinase, mitochondrial"
149,"bckd kinase"
149,"branched chain ketoacid dehydrogenase kinase"
149,"branched chain alpha ketoacid dehydrogenase kinase"
149,"branched chain alpha ketoacid dehydrogenase kinase"
149,"ec 2.7.11.4"
150,"breakpoint cluster region"
150,"bcr"
150,"all"
150,"bcr1"
150,"cml"
150,"d22s11"
150,"d22s662"
150,"flj16453"
150,"phl"
150,"otthump00000028949"
150,"otthump00000067895"
150,"breakpoint cluster region protein"
150,"renal carcinoma antigen ny ren 26"
151,"bromodomain containing 4"
151,"brd4"
151,"cap"
151,"hunk1"
151,"hunki"
151,"mcap"
151,"bromodomain containing 4"
151,"bromodomain containing protein 4"
151,"chromosome associated protein"
152,"eukaryotic elongation factor 2 kinase"
152,"eef2k"
152,"hsu93850"
152,"mgc45041"
152,"eef 2k"
152,"otthump00000119998"
152,"calcium/calmodulin dependent eukaryotic elongation factor 2 kinase"
152,"calcium/calmodulin dependent eukaryotic elongation factor 2 kinase"
152,"calmodulin dependent protein kinase iii"
152,"eef 2 kinase"
152,"elongation factor 2 kinase"
152,"eukaroytic elongation factor 2 kinase"
152,"eukaryotic elongation factor 2 kinase"
153,"fas activated serine/threonine kinase"
153,"fastk"
153,"fast"
153,"fast kinase"
153,"otthump00000213278"
153,"otthump00000213305"
153,"otthump00000213306"
153,"otthump00000213307"
153,"fas activated serine/threonine kinase"
154,"mechanistic target of rapamycin (serine/threonine kinase)"
154,"mtor"
154,"flj44809"
154,"frap"
154,"frap1"
154,"frap2"
154,"raft1"
154,"rapt1"
154,"fk506 binding protein 12 rapamycin associated protein 1"
154,"fk506 binding protein 12 rapamycin associated protein 2"
154,"fk506 binding protein 12 rapamycin complex associated protein 1"
154,"fkbp rapamycin associated protein"
154,"fkbp12 rapamycin complex associated protein 1"
154,"otthump00000001983"
154,"mammalian target of rapamycin"
154,"rapamycin and fkbp12 target 1"
154,"rapamycin associated protein frap2"
154,"rapamycin target protein 1"
154,"serine/threonine protein kinase mtor"
155,"pyruvate dehydrogenase kinase, isozyme 1"
155,"pdk1"
155,"otthump00000163127"
155,"otthump00000205076"
155,"otthump00000205077"
155,"otthump00000205082"
155,"[pyruvate dehydrogenase [lipoamide]] kinase isozyme 1, mitochondrial"
155,"mitochondrial pyruvate dehydrogenase, lipoamide, kinase isoenzyme 1"
155,"pyruvate dehydrogenase kinase, isoenzyme 1"
156,"pyruvate dehydrogenase kinase, isozyme 2"
156,"pdk2"
156,"pdhk2"
156,"otthump00000220889"
156,"otthump00000220890"
156,"otthump00000220957"
156,"pyruvate dehydrogenase kinase, isoenzyme 2"
156,"pyruvate dehydrogenase, lipoamide, kinase isozyme 2, mitochondrial"
157,"pyruvate dehydrogenase kinase, isozyme 3"
157,"pdk3"
157,"otthump00000023083"
157,"otthump00000226873"
157,"pyruvate dehydrogenase kinase, isoenzyme 3"
157,"pyruvate dehydrogenase, lipoamide, kinase isozyme 3, mitochondrial"
158,"pyruvate dehydrogenase kinase, isozyme 4"
158,"pdk4"
158,"flj40832"
158,"otthump00000204768"
158,"[pyruvate dehydrogenase [lipoamide]] kinase isozyme 4, mitochondrial"
158,"pyruvate dehydrogenase kinase, isoenzyme 4"
158,"pyruvate dehydrogenase, lipoamide, kinase isozyme 4, mitochondrial"
159,"protein kinase, dna activated, catalytic polypeptide"
159,"prkdc"
159,"dna pkcs"
159,"dnapk"
159,"dnpk1"
159,"hyrc"
159,"hyrc1"
159,"xrcc7"
159,"p350"
159,"dna pk catalytic subunit"
159,"dna dependent protein kinase catalytic subunit"
159,"hyper radiosensitivity of murine scid mutation, complementing 1"
159,"p460"
160,"rio kinase 2 (yeast)"
160,"riok2"
160,"flj11159"
160,"rio2"
160,"otthump00000158911"
160,"otthump00000222868"
160,"serine/threonine protein kinase rio2"
161,"rio kinase 3 (yeast)"
161,"riok3"
161,"dkfzp779l1370"
161,"sudd"
161,"otthump00000162631"
161,"homolog of the aspergillus nidulans sudd gene product"
161,"serine/threonine protein kinase rio3"
161,"sudd (suppressor of bimd6, aspergillus nidulans) homolog"
161,"sudd homolog"
161,"sudd suppressor of aspergillus nidulans bimd6 homolog"
161,"sudd suppressor of bimd6 homolog"
162,"smg 1 homolog, phosphatidylinositol 3 kinase related kinase (c. elegans)"
162,"smg1"
162,"61e3.4"
162,"atx"
162,"kiaa0421"
162,"lip"
162,"otthump00000234388"
162,"pi 3 kinase related kinase smg 1"
162,"smg1 homolog, phosphatidylinositol 3 kinase related kinase"
162,"lambda interacting protein"
162,"lambda/iota protein kinase c interacting protein"
162,"phosphatidylinositol 3 kinase related kinase"
162,"phosphatidylinositol 3 kinase related protein kinase"
162,"serine/threonine protein kinase smg1"
163,"serine/threonine kinase 19"
163,"stk19"
163,"dadb 112b14.2"
163,"d6s60"
163,"d6s60e"
163,"g11"
163,"hla rp1"
163,"mgc117388"
163,"rp1"
163,"mhc class iii hla rp1"
163,"otthump00000029340"
163,"otthump00000029341"
163,"nuclear serine/threonine protein kinase"
163,"serine/threonine protein kinase 19"
